p,p_mod40,S_p,sgn
53299,19,-1,-1
53411,11,1,1
53419,19,-1,-1
53611,11,1,1
53639,39,-1,-1
53699,19,-1,-1
53719,39,-1,-1
53731,11,1,1
53759,39,-1,-1
53819,19,-1,-1
53831,31,1,1
53939,19,-1,-1
54011,11,1,1
54059,19,-1,-1
54151,31,1,1
54251,11,1,1
54311,31,1,1
54319,39,-1,-1
54371,11,1,1
54419,19,-1,-1
54539,19,-1,-1
54559,39,-1,-1
54679,39,-1,-1
54779,19,-1,-1
54799,39,-1,-1
54851,11,1,1
54919,39,-1,-1
54959,39,-1,-1
54979,19,-1,-1
55051,11,1,1
55079,39,-1,-1
55219,19,-1,-1
55351,31,1,1
55411,11,1,1
55439,39,-1,-1
55511,31,1,1
55579,19,-1,-1
55619,19,-1,-1
55631,31,1,1
55691,11,1,1
55711,31,1,1
55799,39,-1,-1
55819,19,-1,-1
55871,31,1,1
55931,11,1,1
56039,39,-1,-1
56171,11,1,1
56179,19,-1,-1
56239,39,-1,-1
56299,19,-1,-1
56311,31,1,1
56359,39,-1,-1
56431,31,1,1
56519,39,-1,-1
56591,31,1,1
56599,39,-1,-1
56659,19,-1,-1
56711,31,1,1
56891,11,1,1
56951,31,1,1
56999,39,-1,-1
57059,19,-1,-1
57119,39,-1,-1
57131,11,1,1
57179,19,-1,-1
57191,31,1,1
57251,11,1,1
57259,19,-1,-1
57331,11,1,1
57559,39,-1,-1
57679,39,-1,-1
57719,39,-1,-1
57731,11,1,1
57751,31,1,1
57791,31,1,1
57839,39,-1,-1
57899,19,-1,-1
57991,31,1,1
58099,19,-1,-1
58111,31,1,1
58151,31,1,1
58171,11,1,1
58199,39,-1,-1
58211,11,1,1
58231,31,1,1
58391,31,1,1
58439,39,-1,-1
58451,11,1,1
58511,31,1,1
58579,19,-1,-1
58631,31,1,1
58679,39,-1,-1
58979,19,-1,-1
58991,31,1,1
59011,11,1,1
59119,39,-1,-1
59159,39,-1,-1
59219,19,-1,-1
59239,39,-1,-1
59351,31,1,1
59399,39,-1,-1
59419,19,-1,-1
59651,11,1,1
59659,19,-1,-1
59699,19,-1,-1
59771,11,1,1
59879,39,-1,-1
59951,31,1,1
59999,39,-1,-1
60091,11,1,1
60139,19,-1,-1
60251,11,1,1
60259,19,-1,-1
60271,31,1,1
60539,19,-1,-1
60611,11,1,1
60679,39,-1,-1
60719,39,-1,-1
60779,19,-1,-1
60811,11,1,1
60899,19,-1,-1
61031,31,1,1
61091,11,1,1
61099,19,-1,-1
61151,31,1,1
61211,11,1,1
61291,11,1,1
61339,19,-1,-1
61379,19,-1,-1
61511,31,1,1
61519,39,-1,-1
61559,39,-1,-1
61631,31,1,1
61751,31,1,1
61819,19,-1,-1
61871,31,1,1
61879,39,-1,-1
61979,19,-1,-1
61991,31,1,1
62039,39,-1,-1
62071,31,1,1
62099,19,-1,-1
62171,11,1,1
62219,19,-1,-1
62299,19,-1,-1
62351,31,1,1
62459,19,-1,-1
62539,19,-1,-1
62591,31,1,1
62639,39,-1,-1
